Designator,Footprint,JLCPCB Part #

"BOOST","MCHP-SOT-23-CHY6_N","C44365"
"BP1","BAT-SMD_BH-AAA-B5BA021","C7525446"
"BUZZER","BUZ-SMD_L9.6-W9.6-LS10.0-R","C96127"
"C1, C4","CAPC1050X55X23ML05T13","C1525"
"C2","CAPC2013X75X45LL10T25","C1710"
"C3","FP-C2012-060-0_2-IPC_B","C28260"
"C5","FP-CL31-IPC_C","C13585"
"C6","FP-CL21-IPC_A","C1779"
"D1","FP-403AE-MFG","C2480"
"DISP","OLED-TH_L27.8-W27.2-P2.54_C9900033791","C5248080"
"IMU","IS-QFN-24_V","C24112"
"L1","FP-LQM21PH_G0-IPC_C","C86090"
"Q1","FP-SOT23-MFG","C20917"
"R1","RESC1609X50X30ML8T20","C22775"
"R2","FP-CRCW0603-HPe3-IPC_C","C25803"
"R3, R4","RESC1609X50X30NL10T20","C4190"
"R5","FP-AC0603-MFG","C48922"
"R6","RESC1608X55X25NL10T15","C185319"
"START","FP-PTS645SM43SMTR92LFS-MFG","C221880"
"STM32","BLACK PILL V3",""
